                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0485,                0.49546,                0.86004,                0.95224,                0.96475,                0.98547,                0.75204,                0.91566,                0.45815,                0.86981,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.0238,                0.50264,                0.85102,                0.99836,                0.91935,                0.96539,                   0.74,                0.88871,                0.46767,                0.86753,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.0276,                0.50118,                0.85302,                0.99861,                0.91935,                0.97328,                0.73368,                0.91338,                0.47485,                 0.8702,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.0041,                0.50447,                0.87271,                0.99578,                0.91935,                0.96283,                0.75605,                0.84859,                0.46061,                0.86178,               0.001208,               0.001208,               0.001208
                     83,                 1.0246,                0.50923,                0.85505,                0.99727,                0.91935,                0.96382,                0.73281,                 0.8827,                0.45396,                0.86516,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.0786,                0.51348,                0.85159,                0.96711,                 0.9487,                0.98298,                0.72975,                0.93695,                0.46379,                0.87009,              0.0011882,              0.0011882,              0.0011882
                     85,                  1.033,                0.50089,                0.86042,                0.95013,                0.96774,                0.97688,                0.74919,                0.88545,                0.47207,                0.86271,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.0465,                0.50087,                0.85596,                0.96811,                0.98387,                0.98932,                0.75093,                0.88603,                 0.4615,                0.86707,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.0296,                0.50312,                0.85633,                0.98352,                0.96243,                0.98927,                 0.7611,                0.88092,                 0.4597,                 0.8632,              0.0011585,              0.0011585,              0.0011585
                     88,                0.99885,                0.51775,                 0.8578,                0.98016,                0.96774,                0.98897,                0.76225,                0.86451,                0.45403,                0.85691,              0.0011486,              0.0011486,              0.0011486
                     89,                  1.055,                0.51409,                0.85339,                 0.9831,                0.98387,                0.98554,                0.76695,                 0.8432,                0.44936,                0.85621,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.0281,                0.49707,                0.85556,                0.98267,                0.98387,                0.98491,                0.74533,                0.88248,                0.46474,                0.86557,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.0501,                0.50162,                0.85962,                0.98091,                0.98387,                0.98528,                0.74445,                0.91265,                0.48383,                0.87496,              0.0011189,              0.0011189,              0.0011189
                     92,                0.98887,                0.48672,                0.83765,                0.96763,                0.96441,                0.98702,                0.73645,                0.96731,                0.46995,                0.88084,               0.001109,               0.001109,               0.001109
                     93,                0.98541,                 0.4892,                0.84634,                0.98273,                0.95161,                0.97115,                0.75027,                0.90606,                0.46202,                0.87332,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.0233,                 0.4929,                0.85331,                      1,                0.94761,                0.98182,                 0.7816,                0.82925,                0.42994,                0.85655,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.0499,                0.50458,                0.85188,                0.99983,                0.95161,                0.98749,                0.77483,                0.81756,                0.43304,                0.85295,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.0509,                 0.5012,                0.85296,                0.96677,                0.98387,                0.98787,                0.74787,                0.97384,                0.45208,                0.87631,              0.0010694,              0.0010694,              0.0010694
